id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
97,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,N,,,,,,,,,,3,69,,,Y,,,,Y,,,,,,,,Y,,
98,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,,,Y,,,,Y,,,,,,,Y,,,
99,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,3,61,Y,,,,,,,,,,,,Y,Y,,,
100,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,39,Y,,,,,,,Y,,,Y,,Y,Y,,,
101,45,4,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,,,,,,,,,,,,,3,65,,,Y,,,Y,,,,,,,,,,,Y
102,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,N,3,50,Y,,,,,,,,,,,Y,,Y,,Y,
103,45,1,N,AO05,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62,,,Y,,,,,Y,,,,,,Y,,,
104,45,1,N,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,,,Y,,,,,,,,,,Y,,,Y,
105,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,,,,,,,,,,3,59,Y,,,,,Y,,,,,,,,,,Y,
106,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO02,Y,,,,3,67,,,Y,,,Y,,,,,,,,Y,,,
107,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,,,,,,,3,50,,,Y,,,,Y,,,,,,,Y,,,
108,45,2,,,,N,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,67,,,Y,,,,,,Y,,,,,,,Y,
109,45,6,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,,,,,,,,,,3,47,,,Y,,,,,Y,,,,,,,,Y,
110,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO06,N,,,,3,65,,,Y,,,,Y,,,,,,Y,,,Y,
111,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,3,48,,,Y,,,,Y,,,,,,Y,Y,,,
112,45,7,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,3,47,,,Y,,,,,Y,,,,,,Y,,,
113,45,4,,,,,,,,,,Y,AO05,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,28,,,Y,,,Y,,,,,,,Y,Y,,,
114,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO07,N,,,,3,65,Y,,,,,Y,,,,,,,Y,Y,,,
115,45,8,,,,,,,,,,,,,,,,,,,,,,N,AO02,Y,,,,,,,,,,,,,3,61,Y,,,,,Y,,,,,,,,Y,,,
116,45,6,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,,,,,,,,,,3,62,,,Y,,,Y,,,,,,,,Y,,,
117,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,65,Y,,,,,,,,,,,,Y,,Y,,
118,45,7,,,,,,,,,,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,,,,3,20,Y,,,,,,,,,,Y,,,Y,,,
119,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,3,67,,,Y,,,Y,,,,,,,,Y,,,
120,45,2,,,,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41,Y,,,,,,Y,,,,,,,,,Y,
121,41,3,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
