id,lastpage,randnumber,friedlichgerecht,friedlichgewalt,blockieren1gerecht,blockieren1gewalt,blockieren2gerecht,blockieren2gewalt,gewalt1gerecht,gewalt1gewalt,gewalt2gerecht,gewalt2gewalt,kontrollfrage,alter,geschlecht,bildung,partei,parteiother,politischeaktiv1,politischeaktiv2,politischeaktiv3,politischeaktiv4,politischeaktiv5,politischeaktiv6,polizei1,umweltschutz1
272,22,2,,,N,Y,,,,,,,2,56,1,5,5,,Y,,,,,,3,2
273,22,5,,,,,,,,,N,Y,2,50,1,6,3,,Y,,,,Y,,3,4
274,15,4,,,,,,,Y,N,,,1,,,,,,,,,,,,,
275,6,2,,,,,,,,,,,,,,,,,,,,,,,,
276,22,5,,,,,,,,,Y,Y,2,47,1,4,5,,Y,,,,,,5,3
277,22,1,Y,Y,,,,,,,,,2,43,1,5,5,,Y,Y,,,,,5,2
278,22,3,,,,,Y,N,,,,,2,43,1,6,2,,,,,,,Y,5,5
279,10,4,,,,,,,,,,,,,,,,,,,,,,,,
280,22,1,Y,N,,,,,,,,,2,45,2,9,3,,Y,Y,,Y,,,3,5
281,22,1,Y,N,,,,,,,,,2,48,2,6,3,,Y,,,,,,5,5
282,22,3,,,,,Y,Y,,,,,2,71,2,5,7,,Y,,,,Y,,3,4
283,22,3,,,,,Y,Y,,,,,2,45,1,6,1,,Y,,,,,,5,5
284,22,2,,,N,N,,,,,,,2,64,2,3,1,,,,,,Y,,5,5
285,22,5,,,,,,,,,Y,Y,2,57,1,8,2,,Y,,Y,,,,4,3
286,22,5,,,,,,,,,N,N,2,44,1,4,5,,Y,,,,,,4,4
287,15,5,,,,,,,,,N,N,1,,,,,,,,,,,,,
288,22,4,,,,,,,N,N,,,2,37,2,4,-oth-,Freie WÃ¤hler,Y,,,,,,5,3
289,22,2,,,Y,N,,,,,,,2,67,1,8,3,,Y,Y,Y,Y,,,4,5
290,22,3,,,,,Y,Y,,,,,2,45,2,7,5,,Y,,,,,,1,2
291,22,5,,,,,,,,,N,Y,2,67,2,5,1,,Y,,,,,,4,3
292,22,4,,,,,,,Y,N,,,2,40,2,5,3,,Y,Y,,,,,4,5
293,22,1,N,Y,,,,,,,,,2,73,1,4,5,,Y,,,,,,5,3
294,22,1,Y,Y,,,,,,,,,2,67,2,5,2,,,,,,Y,,5,4
295,22,3,,,,,N,Y,,,,,2,56,1,7,2,,Y,,,,Y,,4,4
296,-1,,,,,,,,,,,,,,,,,,,,,,,,,
297,22,3,,,,,N,Y,,,,,2,39,2,8,1,,Y,,,,,,4,5
298,22,5,,,,,,,,,N,Y,2,71,1,3,2,,Y,,,,,,5,3
299,15,1,Y,N,,,,,,,,,3,,,,,,,,,,,,,
300,22,1,Y,Y,,,,,,,,,2,30,1,6,2,,Y,,,,,,4,5
301,22,2,,,Y,N,,,,,,,2,53,2,5,2,,,,,,Y,,4,3
302,22,2,,,N,Y,,,,,,,2,63,1,4,1,,Y,,,,,,4,4
303,22,2,,,Y,N,,,,,,,2,34,2,6,8,,Y,,,,,,5,4
304,22,5,,,,,,,,,N,Y,2,54,2,3,-oth-,Tierschutzpartei ,Y,,,,Y,,3,4
305,22,2,,,Y,Y,,,,,,,2,58,1,4,2,,,,,,Y,,4,5
306,22,1,Y,N,,,,,,,,,2,48,1,7,7,,Y,,,,,,3,4
307,22,3,,,,,N,Y,,,,,2,70,2,8,4,,Y,Y,Y,Y,,,3,5
308,22,2,,,Y,N,,,,,,,2,71,1,10,1,,,,,,Y,,4,4
309,22,5,,,,,,,,,N,Y,2,67,1,4,5,,Y,,,,,,5,3
310,15,1,Y,Y,,,,,,,,,3,,,,,,,,,,,,,
